loan_id,borrower_id,loan_amount,loan_tenure_months,interest_rate,loan_purpose,application_date,default_probability,is_default,credit_score_traditional
LN00000001,BRW000001,14298,36,15.993507421738801,Education,2025-02-13 06:03:28.509049,0.02,False,618
LN00000002,BRW000002,113783,36,15.590195812519395,Personal,2024-12-06 06:03:28.509305,0.02,False,601
LN00000003,BRW000003,46253,24,20.227997821392552,Business,2024-12-14 06:03:28.509316,0.02,False,593
LN00000004,BRW000004,10000,48,14.660755596985833,Education,2025-02-28 06:03:28.509323,0.02,False,602
LN00000005,BRW000005,44604,36,19.082934741120937,Personal,2024-10-30 06:03:28.509330,0.02,False,710
LN00000006,BRW000006,30728,24,15.17781849543528,Business,2025-07-13 06:03:28.509337,0.02,False,645
LN00000007,BRW000007,25146,24,15.242711179516654,Education,2024-08-21 06:03:28.509344,0.02,False,748
LN00000008,BRW000008,49602,12,13.718332903973135,Personal,2024-10-12 06:03:28.509351,0.02,False,696
LN00000009,BRW000009,28931,24,11.634066767410598,Personal,2025-02-26 06:03:28.509357,0.02,False,653
LN00000010,BRW000010,10000,18,14.015761332382572,Personal,2024-11-02 06:03:28.509364,0.02,False,687
LN00000011,BRW000011,10000,18,10.671244421376409,Home Improvement,2025-01-22 06:03:28.509379,0.02,False,769
LN00000012,BRW000012,11109,12,16.767416475788238,Personal,2025-05-10 06:03:28.509386,0.030637227823564858,False,715
LN00000013,BRW000013,108713,18,15.055099557430019,Personal,2025-07-28 06:03:28.509392,0.02,False,678
LN00000014,BRW000014,37099,24,19.252392227720158,Personal,2024-10-16 06:03:28.509398,0.21571584378904715,False,692
LN00000015,BRW000015,33958,24,13.824764062338396,Personal,2025-06-25 06:03:28.509405,0.02,False,534
LN00000016,BRW000016,24011,18,15.226977404019054,Personal,2025-03-14 06:03:28.509411,0.02,False,850
LN00000017,BRW000017,10538,36,19.653410957056355,Business,2025-04-20 06:03:28.509418,0.39195241141305626,False,702
LN00000018,BRW000018,10000,24,18.670061827908405,Personal,2025-07-29 06:03:28.509424,0.02,False,712
LN00000019,BRW000019,48855,24,16.408949598684988,Medical,2024-10-06 06:03:28.509430,0.02,False,647
LN00000020,BRW000020,83343,18,12.89572756110223,Medical,2024-08-29 06:03:28.509437,0.02,False,420
LN00000021,BRW000021,37874,36,17.760353917716195,Business,2025-02-22 06:03:28.509443,0.02,False,623
LN00000022,BRW000022,14873,24,15.13530126367087,Medical,2025-06-12 06:03:28.509450,0.09160999861135379,False,657
LN00000023,BRW000023,15879,36,14.44012217581728,Business,2025-07-25 06:03:28.509456,0.02,False,567
LN00000024,BRW000024,38349,12,19.993837492472174,Business,2024-12-25 06:03:28.509462,0.02,False,566
LN00000025,BRW000025,20065,18,20.399034377258065,Personal,2025-05-18 06:03:28.509469,0.02,False,616
LN00000026,BRW000026,19421,12,13.340086189170965,Personal,2025-01-23 06:03:28.509475,0.02,False,727
LN00000027,BRW000027,14316,18,21.148224961815316,Personal,2025-03-19 06:03:28.509481,0.02,False,775
LN00000028,BRW000028,12956,18,15.730978817067989,Personal,2025-06-16 06:03:28.509488,0.025927735699811105,False,667
LN00000029,BRW000029,20004,36,18.348222732574175,Education,2025-05-19 06:03:28.509495,0.02,False,593
LN00000030,BRW000030,10000,24,21.493811350611608,Personal,2024-11-14 06:03:28.509501,0.12308498228615139,False,613
LN00000031,BRW000031,36150,18,15.511324277776474,Personal,2025-01-23 06:03:28.509507,0.02,False,659
LN00000032,BRW000032,10000,36,16.785805034780672,Home Improvement,2025-04-28 06:03:28.509514,0.2253262823783121,False,671
LN00000033,BRW000033,51651,12,18.170354587252575,Education,2024-10-02 06:03:28.509520,0.02,False,693
LN00000034,BRW000034,14441,18,20.740901521733548,Business,2025-04-04 06:03:28.509526,0.02,False,606
LN00000035,BRW000035,20027,24,16.059819952734593,Personal,2025-07-29 06:03:28.509533,0.15762650541432277,False,702
LN00000036,BRW000036,34421,24,18.428138301344678,Medical,2025-07-22 06:03:28.509539,0.02,False,695
LN00000037,BRW000037,17495,24,13.677199142384849,Personal,2025-06-28 06:03:28.509545,0.02,False,610
LN00000038,BRW000038,12200,18,11.555361470715617,Business,2025-07-09 06:03:28.509551,0.27626485660025213,False,478
LN00000039,BRW000039,27698,18,13.96456817021728,Education,2025-06-02 06:03:28.509558,0.02,False,561
LN00000040,BRW000040,127856,48,13.956258638019904,Business,2024-12-03 06:03:28.509564,0.02,False,806
LN00000041,BRW000041,41367,48,18.925369017624135,Home Improvement,2024-09-11 06:03:28.509570,0.02,False,480
LN00000042,BRW000042,12011,18,15.779585723447731,Personal,2024-12-24 06:03:28.509577,0.02,False,781
LN00000043,BRW000043,16620,24,14.167438574816291,Medical,2025-07-31 06:03:28.509584,0.02,False,477
LN00000044,BRW000044,15035,18,13.338102161588994,Business,2025-04-11 06:03:28.509590,0.02,False,572
LN00000045,BRW000045,10000,18,14.746916980123407,Business,2024-11-22 06:03:28.509596,0.02,False,612
LN00000046,BRW000046,35592,36,18.751730660249763,Home Improvement,2025-06-04 06:03:28.509615,0.02,False,828
LN00000047,BRW000047,16969,24,13.329878472974318,Business,2025-04-23 06:03:28.509621,0.02,False,652
LN00000048,BRW000048,28401,36,15.61798246254053,Education,2024-08-18 06:03:28.509628,0.10798675927611331,False,628
LN00000049,BRW000049,10000,24,14.853384293850773,Personal,2024-12-09 06:03:28.509634,0.02,False,556
LN00000050,BRW000050,38254,24,17.062640787213912,Medical,2025-05-06 06:03:28.509640,0.09165150570074276,False,702
LN00000051,BRW000051,13717,12,21.522758140609675,Education,2024-11-04 06:03:28.509646,0.02,False,598
LN00000052,BRW000052,10000,36,14.04406035506134,Home Improvement,2024-09-24 06:03:28.509652,0.02,False,627
LN00000053,BRW000053,10000,48,16.952157807970917,Home Improvement,2024-10-09 06:03:28.509658,0.02,False,614
LN00000054,BRW000054,10552,24,15.954022007241166,Personal,2025-01-23 06:03:28.509665,0.02,False,721
LN00000055,BRW000055,15641,12,14.601684419853262,Business,2025-03-03 06:03:28.509672,0.27544244482362523,False,726
LN00000056,BRW000056,44844,48,16.151245254562003,Home Improvement,2025-03-05 06:03:28.509678,0.02,False,560
LN00000057,BRW000057,15444,18,21.45939748117354,Business,2025-03-25 06:03:28.509684,0.02,False,587
LN00000058,BRW000058,48348,24,15.792876488004167,Business,2024-12-02 06:03:28.509691,0.02,False,577
LN00000059,BRW000059,27825,12,15.792498382780822,Personal,2024-10-13 06:03:28.509697,0.02,False,668
LN00000060,BRW000060,94415,12,14.863684866877403,Personal,2025-02-27 06:03:28.509703,0.02,False,740
LN00000061,BRW000061,14753,18,17.24619307631051,Education,2024-12-06 06:03:28.509709,0.02,False,669
LN00000062,BRW000062,30668,24,13.000363178305982,Education,2024-11-19 06:03:28.509715,0.06002022843794333,False,430
LN00000063,BRW000063,59817,24,16.364339026435292,Business,2024-08-22 06:03:28.509721,0.04497723283516723,False,725
LN00000064,BRW000064,36471,24,17.337472961774925,Personal,2025-07-02 06:03:28.509728,0.02,False,515
LN00000065,BRW000065,19221,24,13.455635733906893,Business,2025-06-18 06:03:28.509734,0.02,False,578
LN00000066,BRW000066,14912,24,20.793636658671385,Home Improvement,2024-12-26 06:03:28.509740,0.035445612763332995,False,669
LN00000067,BRW000067,10000,36,20.683722668378003,Business,2024-12-31 06:03:28.509746,0.1533036064128125,False,641
LN00000068,BRW000068,18185,48,22.74304064962434,Home Improvement,2024-12-07 06:03:28.509752,0.02,False,737
LN00000069,BRW000069,10530,18,17.714079121495082,Personal,2025-01-25 06:03:28.509758,0.02,False,588
LN00000070,BRW000070,14279,12,17.246767428147624,Medical,2025-04-19 06:03:28.509764,0.02,False,553
LN00000071,BRW000071,22955,24,15.766173260075819,Education,2024-12-02 06:03:28.509770,0.02,False,618
LN00000072,BRW000072,10000,12,16.204507632097116,Home Improvement,2025-01-22 06:03:28.509776,0.02,False,747
LN00000073,BRW000073,10000,36,18.781051847135107,Education,2025-06-30 06:03:28.509783,0.02,False,712
LN00000074,BRW000074,30027,18,16.051556573403047,Personal,2025-02-27 06:03:28.509789,0.33874800519297255,False,658
LN00000075,BRW000075,10000,24,15.547528627515394,Home Improvement,2025-03-10 06:03:28.509795,0.02,False,782
LN00000076,BRW000076,21244,12,17.676776099917376,Education,2024-10-28 06:03:28.509801,0.16787981527924806,False,764
LN00000077,BRW000077,10000,24,14.120982316765861,Personal,2025-04-19 06:03:28.509807,0.02,False,728
LN00000078,BRW000078,33559,12,20.740978321003254,Personal,2024-09-19 06:03:28.509814,0.02,False,532
LN00000079,BRW000079,37260,36,16.025231880343775,Personal,2025-02-17 06:03:28.509820,0.02,False,728
LN00000080,BRW000080,59156,48,18.294267503267687,Education,2024-11-03 06:03:28.509826,0.02,False,629
LN00000081,BRW000081,59644,18,13.595159651041584,Business,2025-06-15 06:03:28.509833,0.030007388906280782,False,610
LN00000082,BRW000082,27428,18,15.869622733900796,Business,2024-09-14 06:03:28.509839,0.02,False,581
LN00000083,BRW000083,10000,24,14.818959679509657,Personal,2025-02-11 06:03:28.509845,0.02,False,632
LN00000084,BRW000084,22063,24,14.94549704815592,Business,2025-04-20 06:03:28.509851,0.02,False,587
LN00000085,BRW000085,31771,12,12.587586259978089,Personal,2025-02-19 06:03:28.509857,0.02,False,666
LN00000086,BRW000086,24263,36,19.168946387304075,Business,2024-11-29 06:03:28.509863,0.02,False,632
LN00000087,BRW000087,83300,12,17.453471371527716,Home Improvement,2025-05-14 06:03:28.509869,0.02,False,672
LN00000088,BRW000088,62201,12,11.74368865165278,Medical,2025-03-24 06:03:28.509875,0.02,False,705
LN00000089,BRW000089,22493,24,15.36252167616332,Personal,2024-08-19 06:03:28.509892,0.02,False,620
LN00000090,BRW000090,39999,12,15.347427506405435,Business,2025-08-06 06:03:28.509898,0.02,False,576
LN00000091,BRW000091,10000,24,17.19670813112612,Business,2024-12-25 06:03:28.509905,0.02,False,449
LN00000092,BRW000092,25625,12,15.564595510070895,Personal,2024-09-06 06:03:28.509911,0.02,False,727
LN00000093,BRW000093,10000,36,19.261107853165278,Home Improvement,2024-10-01 06:03:28.509917,0.02,False,657
LN00000094,BRW000094,19086,24,18.892242709700746,Business,2025-01-05 06:03:28.509923,0.02,False,632
LN00000095,BRW000095,12797,24,22.62051864038143,Business,2025-06-06 06:03:28.509930,0.02,True,767
LN00000096,BRW000096,13082,12,9.319647038108002,Business,2025-03-13 06:03:28.509936,0.032106945533244974,False,521
LN00000097,BRW000097,11499,12,20.102107159966053,Personal,2024-11-14 06:03:28.509942,0.02,False,655
LN00000098,BRW000098,15992,24,18.384656654883266,Personal,2024-12-29 06:03:28.509948,0.02,False,553
LN00000099,BRW000099,13940,18,15.474615854983368,Personal,2025-06-10 06:03:28.509954,0.02,False,715
LN00000100,BRW000100,36557,18,15.230095864542728,Personal,2024-10-10 06:03:28.509960,0.02,False,427
LN00000101,BRW000101,17827,24,15.735198764034704,Personal,2024-08-25 06:03:28.509966,0.02,False,730
LN00000102,BRW000102,21237,18,16.74359828843429,Home Improvement,2025-07-22 06:03:28.509972,0.18046366734125247,False,726
LN00000103,BRW000103,27801,36,14.377384198613264,Education,2025-08-11 06:03:28.509978,0.02,False,557
LN00000104,BRW000104,27730,48,11.189093142796153,Medical,2024-11-30 06:03:28.509984,0.02,False,656
LN00000105,BRW000105,10000,24,14.441085587382473,Medical,2024-12-30 06:03:28.509990,0.02,False,559
LN00000106,BRW000106,17828,48,15.202737613024812,Education,2025-04-08 06:03:28.509996,0.02,False,692
LN00000107,BRW000107,26630,36,17.710429135499144,Personal,2024-11-18 06:03:28.510105,0.02,False,732
LN00000108,BRW000108,10886,12,12.43612649771546,Business,2025-01-22 06:03:28.510120,0.24304589756528233,False,549
LN00000109,BRW000109,10000,12,17.927859412096694,Personal,2025-04-26 06:03:28.510127,0.08201172839096874,False,520
LN00000110,BRW000110,10000,24,12.386028009177387,Personal,2024-08-19 06:03:28.510134,0.02,False,759
LN00000111,BRW000111,25890,24,17.191722698782325,Business,2025-05-16 06:03:28.510140,0.02,False,844
LN00000112,BRW000112,17412,18,17.657096177073416,Business,2025-02-16 06:03:28.510146,0.02,False,699
LN00000113,BRW000113,19514,18,15.60888992647817,Personal,2024-08-21 06:03:28.510153,0.02,False,706
LN00000114,BRW000114,10000,24,16.1384246281481,Personal,2025-04-05 06:03:28.510159,0.02,False,616
LN00000115,BRW000115,23312,24,18.09238120950264,Personal,2024-09-25 06:03:28.510165,0.02,False,668
LN00000116,BRW000116,24257,12,14.253775504351928,Education,2024-09-26 06:03:28.510171,0.02,False,685
LN00000117,BRW000117,27193,36,16.926457206331012,Home Improvement,2024-11-12 06:03:28.510182,0.02,False,631
LN00000118,BRW000118,69822,48,14.947749455909056,Education,2025-03-26 06:03:28.510189,0.02,False,784
LN00000119,BRW000119,11994,36,20.65046837706382,Medical,2025-04-09 06:03:28.510195,0.02,False,667
LN00000120,BRW000120,32539,12,17.629688060873452,Business,2025-08-02 06:03:28.510202,0.05616107805179696,False,680
LN00000121,BRW000121,28784,12,12.867353435927585,Personal,2025-06-07 06:03:28.510208,0.02,False,633
LN00000122,BRW000122,31704,24,21.45340697289518,Education,2024-10-28 06:03:28.510214,0.02,False,643
LN00000123,BRW000123,17182,48,19.005270648448946,Personal,2025-07-27 06:03:28.510220,0.11320615828510139,False,771
LN00000124,BRW000124,40570,36,12.380667281157697,Personal,2024-12-04 06:03:28.510246,0.11491340595728268,False,664
